Município;Doses Distribuídas às Secretarias Municipais de Saúde;Doses Aplicadas;Relação entre doses distribuídas e doses aplicadas*
Geminiano;2.762;2.515;91,1%
Prata Do Piauí;2.753;2.660;96,6%
Santana Do Piauí;2.720;1.992;73,2%
Domingos Mourão;2.708;2.289;84,5%
São Braz Do Piauí;2.659;2.463;92,6%
Bela Vista Do Piauí;2.601;2.247;86,4%
Flores Do Piauí;2.597;2.201;84,8%
Pajeú Do Piauí;2.587;1.943;75,1%
Morro Cabeça No Tempo;2.584;2.176;84,2%
Coronel José Dias;2.573;2.279;88,6%
Vera Mendes;2.552;2.591;101,5%
Caxingó;2.528;2.093;82,8%
Santo Inácio Do Piauí;2.524;2.565;101,6%
Joca Marques;2.522;2.446;97,0%
Capitão Gervásio Oliveira;2.511;2.316;92,2%
Paes Landim;2.495;2.621;105,1%
Barra D'Alcântara;2.463;2.294;93,1%
Ribeira Do Piauí;2.420;2.290;94,6%
Pavussu;2.414;2.086;86,4%
Jurema;2.398;2.350;98,0%
São Félix Do Piauí;2.390;2.540;106,3%
Riacho Frio;2.372;2.033;85,7%
Canavieira;2.363;1.894;80,2%
Brejo Do Piauí;2.362;1.871;79,2%
Cajazeiras Do Piauí;2.345;2.121;90,4%
Novo Santo Antônio;2.252;1.996;88,6%
Nova Santa Rita;2.217;2.069;93,3%
Antônio Almeida;2.211;2.153;97,4%
São José Do Peixe;2.211;1.517;68,6%
Belém Do Piauí;2.122;2.036;95,9%
Pau D'Arco Do Piauí;2.069;1.678;81,1%
Guaribas;2.066;2.007;97,1%
Lagoinha Do Piauí;2.045;1.464;71,6%
Vila Nova Do Piauí;2.015;1.917;95,1%
Sebastião Barros;2.006;1.835;91,5%
Floresta Do Piauí;1.996;1.865;93,4%
Barreiras Do Piauí;1.957;1.500;76,6%
João Costa;1.873;1.912;102,1%
Pedro Laurentino;1.767;1.630;92,2%
São Miguel Da Baixa Grande;1.730;1.688;97,6%
Olho D'Água Do Piauí;1.727;1.693;98,0%
Francisco Macedo;1.713;1.552;90,6%
Tanque Do Piauí;1.675;1.773;105,9%
Aroeiras Do Itaim;1.651;1.537;93,1%
Santo Antônio Dos Milagres;1.645;1.619;98,4%
São Gonçalo Do Gurguéia;1.620;1.231;76,0%
São Miguel Do Fidalgo;1.612;1.328;82,4%
Porto Alegre Do Piauí;1.611;1.330;82,6%
São Luis Do Piauí;1.587;1.243;78,3%
Tamboril Do Piauí;1.490;1.544;103,6%
Miguel Leão;1.225;1.536;125,4%
Santa Cruz Dos Milagres;0;2.117;-
